"sku,name,category,automation_level,base_price,description,spec_sheet_file"
"APEX_SHF,Apex Single Head Filler,Filler,Semi-Auto,0,Tabletop piston filler (Requires Piston/Hopper selection),Apex Tabletop Filler - Spec Sheet.pdf"
"FL-12-150,FL-12 (2-Head 150ml),Filler,Automatic,44390,2-Nozzle Servo Filler (150ml Max),500ml Filler, Capper, ELF50.pdf"
"FL-12-500,FL-12 (2-Head 500ml),Filler,Automatic,49290,2-Nozzle Servo Filler (500ml Max),500ml Filler, Capper, ELF50.pdf"
"FL-14-500,FL-14 (4-Head 500ml),Filler,Automatic,66790,4-Nozzle Servo Filler (500ml Max),500ml Full Auto - Filler, Capper, Labeller.pdf"
"ACCUTEK_HDEX,Accutek HDEX Handheld,Capper,Semi-Auto,1122.50,Handheld Capper Full System (Rail/Stand/Balancer),EPS HandHeld Cappers.pdf"
"CP-10-VB,CP-10 Cap Applicator,Capper,Automatic,25695,Vibration Bowl & Cap Feeder,CP-10_Spec_Sheet Capping Machine.pdf"
"CP-10-TIGHT,CP-10 Cap Tightener,Capper,Automatic,31790,Inline Cap Tightener (Requires Applicator for Full Auto),CP-10_Spec_Sheet Capping Machine.pdf"
"ELF-50,ELF-50 Tabletop Labeler,Labeler,Semi-Auto,13295,Tabletop Wrap-Around Labeler,ELF-50 Spec Sheet.pdf"
"PL-501,PL-501 High Speed Labeler,Labeler,Automatic,26795,Vertical Inline Wrap-Around Labeler,PL-501.pdf"
"PL-501D,PL-501D Tapered Labeler,Labeler,Specialty,45395,Labeler for Conical/Tapered Containers,PL501D Tapered Container Labeller.pdf"
"PL-211,PL-211 Top Labeler,Labeler,Specialty,20395,Top Label Applicator (Trays/Caps/Pouches),PL-211.pdf"
